date,val_high,val_open,val_low,val_close,val_close_final,volume,Moving average 7,Moving average 30,Momentum 7
2006-05-12,23.60,23.33,23.25,23.68,16.69,651535232,23.680000000000003,23.67999999999999,1.09
2006-05-15,23.50,23.25,22.40,23.45,16.53,1336049152,23.647142857142857,23.672333333333324,0.58
2006-05-16,23.30,23.12,22.60,22.85,16.10,671452672,23.52857142857143,23.64466666666666,-0.17
2006-05-17,23.08,22.73,22.00,23.00,16.21,601421120,23.431428571428572,23.621999999999996,0.59
2006-05-18,22.50,22.50,21.66,21.75,15.32,17677400,23.155714285714286,23.557666666666663,-0.62
2006-05-19,22.15,22.03,21.11,21.64,15.25,14006800,22.864285714285717,23.489666666666665,-0.08
2006-05-22,21.60,21.08,20.60,21.50,15.15,15664600,22.552857142857142,23.416999999999998,-0.83
2006-05-23,22.25,21.70,21.00,21.50,15.15,751995008,22.24142857142857,23.344333333333335,-0.37
2006-05-24,21.70,21.35,20.88,21.25,14.98,775588864,21.927142857142858,23.263333333333335,0.23
2006-05-25,21.85,21.73,21.30,21.45,15.12,743515072,21.727142857142855,23.189000000000007,1.66
2006-05-26,22.55,22.00,21.77,21.72,15.30,658253824,21.544285714285714,23.123666666666672,1.65
2006-05-29,22.75,22.50,22.30,22.38,15.77,4725800,21.634285714285713,23.080333333333336,2.98
2006-05-30,22.30,22.20,21.62,22.38,15.77,596815424,21.740000000000002,23.037000000000003,0.89
2006-05-31,22.15,21.83,21.72,21.80,15.36,773726208,21.782857142857146,22.974333333333337,1.43
2006-06-01,22.15,22.03,21.67,22.00,15.50,614610816,21.854285714285712,22.918333333333337,1.98
2006-06-02,22.57,22.40,22.05,22.09,15.57,718477760,21.974285714285713,22.86533333333334,1.3
2006-06-05,22.45,22.44,21.45,22.34,15.74,436184448,22.101428571428567,22.82066666666667,0.34
2006-06-06,21.58,21.40,20.85,21.50,15.16,598332160,22.07,22.748,-0.65
2006-06-07,21.38,21.38,20.27,21.27,14.99,704318400,21.911428571428576,22.667666666666666,-2.09
2006-06-08,20.35,20.24,19.33,20.27,14.29,721497920,21.610000000000003,22.554,-2.01
2006-06-09,20.69,20.59,19.69,20.15,14.20,654011712,21.374285714285715,22.436333333333334,-1.84
2006-06-12,20.00,19.91,19.00,19.69,13.88,576095104,21.044285714285714,22.303333333333335,-0.48
2006-06-13,19.00,18.75,18.16,19.00,13.39,825067072,20.602857142857143,22.147333333333332,-5.34
2006-06-14,19.05,18.42,18.20,18.25,12.86,887050304,20.018571428571427,21.966333333333335,-7.27
2006-06-15,18.25,18.25,18.25,18.25,12.86,0,19.554285714285715,21.785333333333327,-6.2
2006-06-16,20.36,19.81,19.48,19.05,13.42,641583552,19.237142857142857,21.630999999999997,-4.89
2006-06-19,20.30,20.25,19.37,20.15,14.20,692431744,19.22,21.513333333333332,-3.4
2006-06-20,20.03,19.67,19.52,19.66,13.85,407442400,19.15,21.379333333333324,-3.48
2006-06-21,20.42,19.75,19.45,19.65,13.85,459848832,19.14428571428571,21.244999999999994,-6.44
2006-06-22,20.46,20.25,20.00,20.21,14.24,259786896,19.31714285714286,21.129333333333324,-1.51
2006-06-23,20.77,20.10,19.83,20.18,14.22,448751744,19.592857142857145,21.012666666666657,0.45
2006-06-26,20.65,20.58,20.35,20.52,14.46,8009600,19.91714285714286,20.914999999999996,-0.5
2006-06-27,20.83,20.52,20.30,20.52,14.46,253568672,20.127142857142854,20.837333333333326,-0.58
2006-06-28,20.72,20.40,20.40,20.31,14.31,391424544,20.15,20.74766666666666,0.27
2006-06-29,21.55,20.82,20.80,20.70,14.59,627573632,20.298571428571428,20.712666666666664,0.85
2006-06-30,21.92,21.62,21.41,21.50,15.15,588345600,20.562857142857144,20.707999999999995,0.35
2006-07-03,21.94,21.50,21.23,21.59,15.21,591976256,20.759999999999998,20.711,1.44
2006-07-04,21.95,21.80,21.58,21.80,15.36,228591552,20.99142857142857,20.720999999999997,1.82
2006-07-05,21.61,21.40,21.06,21.70,15.30,546497024,21.16,20.736,1.85
2006-07-06,21.70,21.55,21.42,21.40,15.08,562186752,21.285714285714285,20.734333333333332,1.11
2006-07-07,21.73,21.73,21.26,21.58,15.20,515231104,21.467142857142854,20.729666666666667,-0.68
2006-07-10,21.48,21.41,21.11,21.40,15.08,321354048,21.56714285714286,20.697,-2.0
2006-07-11,22.00,21.30,21.10,21.31,15.02,645736256,21.54,20.66133333333333,-0.31
2006-07-12,22.17,21.88,21.83,21.90,15.43,549870208,21.584285714285716,20.664666666666662,-0.72
2006-07-13,21.90,21.75,21.60,21.91,15.44,398954624,21.599999999999998,20.661666666666658,-2.45
2006-07-14,22.16,21.89,21.85,21.80,15.36,550678592,21.614285714285717,20.65199999999999,-2.06
2006-07-17,22.15,21.97,21.08,21.15,14.90,17494400,21.57857142857143,20.612333333333325,-3.08
2006-07-18,22.15,21.97,21.08,21.17,14.92,726239168,21.52,20.601333333333326,-2.65
2006-07-19,21.85,21.25,21.06,21.17,14.92,589344448,21.48714285714286,20.597999999999992,-2.43
2006-07-20,22.07,21.86,21.17,21.17,14.92,8777200,21.467142857142854,20.62799999999999,-2.93
2006-07-21,21.45,21.31,20.95,21.17,14.92,289852928,21.362857142857145,20.661999999999992,-1.98
2006-07-24,21.86,21.27,21.00,21.00,14.80,316306272,21.232857142857142,20.705666666666662,-0.59
2006-07-25,22.08,21.95,21.56,22.00,15.50,9534800,21.26142857142857,20.80566666666666,0.24
2006-07-26,22.25,22.12,21.86,22.10,15.58,6642800,21.397142857142857,20.933999999999994,2.29
2006-07-27,22.50,22.23,22.13,22.37,15.76,8323600,21.56857142857143,21.07133333333333,2.59
2006-07-28,22.64,22.45,22.27,22.37,15.76,347609440,21.740000000000002,21.182000000000002,2.94
2006-07-31,22.57,22.43,22.40,22.55,15.89,242254960,21.937142857142863,21.262,3.05
2006-08-01,22.65,22.30,22.20,22.45,15.82,690284928,22.12,21.355000000000004,2.82
2006-08-02,22.92,22.58,22.56,22.50,15.86,441925792,22.334285714285716,21.45,3.02
2006-08-03,23.11,22.75,22.61,22.85,16.10,412657760,22.455714285714286,21.538000000000004,0.81
2006-08-04,23.29,23.18,22.73,22.96,16.18,531521024,22.57857142857143,21.630666666666674,0.1
2006-08-07,23.20,22.92,22.74,22.84,16.10,333003840,22.645714285714288,21.70800000000001,0.08
2006-08-08,23.26,23.14,22.98,23.12,16.30,395445184,22.752857142857145,21.794666666666675,0.33
2006-08-09,23.32,23.25,22.85,23.10,16.28,510045856,22.831428571428575,21.887666666666675,0.33
2006-08-10,23.00,22.78,22.65,22.92,16.16,405887328,22.898571428571433,21.961666666666677,-0.29
2006-08-11,23.08,22.93,22.60,22.70,16.00,7984400,22.927142857142858,22.001666666666672,-0.8
2006-08-14,22.80,22.70,22.12,22.70,16.00,449955808,22.905714285714286,22.038666666666675,1.16
2006-08-15,22.85,22.35,22.20,22.16,15.61,536614816,22.791428571428572,22.050666666666668,1.58
2006-08-16,22.82,22.75,22.52,22.60,15.93,647443904,22.75714285714286,22.08066666666667,1.19
2006-08-17,22.65,22.60,22.06,22.65,15.96,514170560,22.69,22.122333333333337,0.32
2006-08-18,22.44,22.19,22.01,22.17,15.63,423109984,22.55714285714286,22.142000000000003,0.98
